nome,preco,cor,status,link
Air Jordan 5 Retro x Paris Saint-Germain,$215,N/A,Coming Soon,https://www.nike.com/t/air-jordan-5-retro-x-paris-saint-germain-mens-shoes-Jbxp83Vk/HQ3004-001
Paris Saint-Germain x Air Jordan 4 RM,$165,N/A,Coming Soon,https://www.nike.com/t/paris-saint-germain-x-air-jordan-4-rm-mens-shoes-ggQqgD/IH7453-001
Paris Saint-Germain,$90,N/A,Coming Soon,https://www.nike.com/t/paris-saint-germain-mens-jersey-top-6CTbQExw/HV3419-010
Jordan Brooklyn Fleece,$56.97,N/A,Best Seller,https://www.nike.com/t/jordan-brooklyn-fleece-mens-oversized-open-hem-pants-45Mmvg/IB7238-010
"Air Jordan 3 Retro ""Sail and Pale Ivory""",$205,N/A,Just In,https://www.nike.com/t/air-jordan-3-retro-sail-and-pale-ivory-womens-shoes-iq3JJrWY/IB2255-100
Air Jordan 1 Retro High OG,$185,N/A,Coming Soon,https://www.nike.com/t/air-jordan-1-retro-high-og-mens-shoes-K8NQRfgq/IH4363-100
Paris Saint-Germain,$40,N/A,Coming Soon,https://www.nike.com/t/paris-saint-germain-mens-t-shirt-L2dqj6Ha/HV3411-627
Paris Saint-Germain,$55,N/A,Coming Soon,https://www.nike.com/t/paris-saint-germain-mens-diamond-shorts-JmRyKk0P/HV3432-627
"Air Jordan 1 Retro High OG ""UNC Reimagined""",$185,N/A,Best Seller,https://www.nike.com/t/air-jordan-1-retro-high-og-unc-reimagined-mens-shoes-VdpsB7/DZ5485-402
Jordan Spizike Low,$165,N/A,Best Seller,https://www.nike.com/t/jordan-spizike-low-mens-shoes-thc5vc/FQ1759-005
Jordan Flight,$40,N/A,N/A,https://www.nike.com/t/jordan-flight-mens-long-sleeve-crewneck-t-shirt-MJoRAz2I/IM6511-100
Jordan Flight,$90,N/A,N/A,https://www.nike.com/t/jordan-flight-mens-utility-pants-lJJ9Ww/HV0530-492
Air Jordan 1 Mid,$130,N/A,Best Seller,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-X5pM09/DQ8426-403
Jordan Flight Court,$105,N/A,N/A,https://www.nike.com/t/jordan-flight-court-mens-shoes-TjdGi9FN/HF3255-007
Jordan Brooklyn Fleece,$80,N/A,Best Seller,https://www.nike.com/t/jordan-brooklyn-fleece-mens-pants-F1df1dcD/HV1052-133
Air Jordan 1 Low G,$155,N/A,Best Seller,https://www.nike.com/t/air-jordan-1-low-g-golf-shoes-ZR2b5R/DD9315-115
"Air Jordan 12 Retro ""French Blue""",$205,N/A,N/A,https://www.nike.com/t/air-jordan-12-retro-french-blue-mens-shoes-mmrpJt/CT8013-114
Jordan Sport,$45,N/A,N/A,https://www.nike.com/t/jordan-sport-mens-dri-fit-long-sleeve-t-shirt-hgsILwXC/HQ9038-492
Jordan Sport Classic,$75,N/A,Recycled Materials,https://www.nike.com/t/jordan-sport-classic-mens-pants-Zb97ng/IB2243-492
"Air Jordan 3 Retro ""Rare Air""",$210,N/A,N/A,https://www.nike.com/t/air-jordan-3-retro-rare-air-mens-shoes-B8xSHcQ4/IB8967-004
"Air Jordan 11 Retro ""Gamma""",$235,N/A,Coming Soon,https://www.nike.com/t/air-jordan-11-retro-gamma-mens-shoes-DYkD1oXL/CT8012-047
Jordan Brooklyn Fleece,$75,N/A,N/A,https://www.nike.com/t/jordan-brooklyn-fleece-mens-crewneck-sweatshirt-AmptYeOU/IM6301-010
Jordan AJ11 Gamma Fleece,$80,N/A,Just In,https://www.nike.com/t/jordan-aj11-gamma-fleece-mens-pullover-hoodie-6mfNLWpv/IQ6970-100
Air Jordan 1 Low,$120,N/A,Best Seller,https://www.nike.com/t/air-jordan-1-low-mens-shoes-0LXhbn/553558-149
